date,Brand,Sub_Category,Description,group
12/21/20,Madewell,jeans,High-waisted wide-leg,Jeans
12/21/20,Aritzia,tank,sweater bustier,Knit Tops
12/21/20,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts
12/21/20,Aritzia,coat,Wool plaid,Coats
12/22/20,Madewell,jeans,Straight-leg,Jeans
12/22/20,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
12/23/20,Madewell,jeans,High-waisted wide-leg,Jeans
12/23/20,Madewell,bodysuit,Velvet wrap,Bodysuits
12/23/20,Aritzia,coat,Wool plaid,Coats
12/24/20,Madewell,jeans,Skinny,Jeans
12/24/20,,shirt,Striped,Woven Tops
12/24/20,Aritzia,coat,Wool plaid,Coats
12/25/20,Madewell,jeans,Demi-boot,Jeans
12/25/20,Muji,tank,Ribbed striped,Knit Tops
12/26/20,Madewell,jeans,Wide-leg button-fly,Jeans
12/26/20,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
12/26/20,Aritzia,coat,Wool plaid,Coats
12/27/20,Madewell,jeans,Demi-boot,Jeans
12/27/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
12/27/20,Aritzia,coat,Wool plaid,Coats
12/28/20,Madewell,jeans,High-waisted wide-leg,Jeans
12/28/20,Leset,top,Long-sleeved wrap,Knit Tops
12/28/20,Aritzia,coat,Wool plaid,Coats
12/29/20,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits
12/29/20,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
12/29/20,Aritzia,coat,Wool plaid,Coats
