CAMPUS_NAME,WALK_COUNT,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
Arizona State University-Polytechnic,1,Mesa,AZ,85212,33.31,-111.68
Springfield Technical Community College,1,Springfield,MA,1105,42.11,-72.58
University of California-Irvine,1,Irvine,CA,92697,33.65,-117.84
University of Wisconsin - Fox Valley,1,Menasha,WI,54952,44.23,-88.42
Clark Atlanta University,1,Atlanta,GA,30314,33.75,-84.41
University of New Hampshire-Durham (Main),2,Durham,NH,3824,43.14,-70.93
Lanier Technical College- Commerce,1,Commerce,GA,30529,34.19,-83.45
Pennsylvania State University-Main Campus,2,University Park,PA,16802,40.8,-77.86
Wilmington University,1,Wilmington Manor,DE,19720,39.68,-75.59
J F Ingram State Technical College,1,Deatsville,AL,36022,32.58,-86.39
Fairfield University,2,Fairfield,CT,6824,41.16,-73.26
McNeese State University,2,Lake Charles,LA,70605,30.18,-93.22
Oklahoma City Community College,1,Oklahoma City,OK,73159,35.39,-97.57
Northwestern University - Evanston,1,Evanston,IL,60208,42.05,-87.68
Hillsborough Community College- South Shore,1,Ruskin,FL,33570,27.72,-82.4
Bluegrass Community and Technical College- Newton,1,Lexington,KY,40508,38.06,-84.5
SUNY at Fredonia,1,Fredonia,NY,14063,42.45,-79.34
University of Bridgeport - Waterbury,1,Waterbury,CT,6705,41.53,-72.97
University of South Carolina-Upstate-Spartanburg,1,Spartanburg,SC,29303-4932,34.99589,-81.97182
Hofstra University,1,Hempstead,NY,11549,40.72,-73.6
Palomar College,1,San Marcos,CA,92069,33.15,-117.18
Polk State College- Lakeland,2,Lakeland,FL,33803,27.99,-81.89
American Indian College Inc,1,Phoenix,AZ,85021,33.58,-112.09
Radford University,2,Radford,VA,24142,37.14,-80.55
Murray State University (Main),1,Murray,KY,42071,36.61,-88.32
State College of Florida-Manatee-Sarasota- Venice,1,Venice,FL,34293,27.04,-82.32
Wright State University-Dayton Campus (Main),3,Fairborn,OH,45324,39.78,-84.06
University of South Carolina-Sumter,1,Sumter,SC,29150,33.93,-80.37
Valencia College- Lake Nona,4,Orlando,FL,32832,28.38,-81.25
University of Wisconsin-Madison,1,Madison,WI,53706,43.07,-89.4
Western Michigan University- Kalamazoo (Main),1,Kalamazoo,MI,49008,42.29,-85.61
Brandeis University,3,Waltham,MA,2453,42.37,-71.26
Luna Community College - (Main),1,Las Vegas,NM,87701,35.62,-105.25
Columbia University in the City of New York- Morningside (Main),3,New York,NY,10027,40.81,-73.96
Northwest Iowa Community College,1,Sheldon,IA,51201,43.18,-95.88
Houston Baptist University,1,Houston,TX,77074,29.69,-95.51
Washington State University- Pullman,1,Pullman,WA,99163,46.73,-117.16
Central Piedmont Community College- Harper,1,Charlotte,NC,28273,35.13,-80.9
Western Kentucky University (Main),1,Bowling Green,KY,42101,36.99,-86.46
Colorado State University-Fort Collins,2,Fort Collins,CO,80523,40.57,-105.08
Hartford Seminary,1,Hartford,CT,6105,41.77,-72.71
Augustana University,3,Sioux Falls,SD,57197,43.53,-96.74
Huntsville Bible College,1,Huntsville,AL,35811,34.75,-86.6
Southeast Community College Area- Beatrice,1,Beatrice,NE,68310,40.26,-96.79
University of Central Florida - South Lake,3,Clermont,FL,34711,28.55,-81.71
Honolulu Community College,1,Honolulu,HI,96817,21.32,-157.87
Illinois State University,1,Normal,IL,61761,40.52,-88.99
Chestnut Hill College,1,Philadelphia,PA,19118,40.09,-75.23
University of Saint Joseph,1,West Hartford,CT,6117,41.78,-72.73
Daytona State College - Daytona Beach,1,Daytona Beach,FL,32114,29.202351,-81.048943
Craven Community College - New Bern (Main),1,New Bern,NC,28562,35.11,-77.1
Georgia State University- Atlanta (Main),2,Atlanta,GA,30303,33.75,-84.39
Rhodes State College,1,Lima,OH,45804,40.74,-84.03
Sarah Lawrence College,3,Bronxville,NY,10708,40.94,-73.84
West Virginia Northern Community College,1,Wheeling,WV,26003,40.06,-80.72
Central Piedmont Community College- Levine,1,Matthews,NC,28105,35.11,-80.69
Jacksonville University,1,Jacksonville,FL,32211,30.35,-81.61
University of Pittsburgh-Johnstown,1,Johnstown,PA,15904,40.27,-78.84
Housatonic Community College,1,Bridgeport,CT,6604,41.17,-73.19
Middlesex County College,1,Edison,NJ,8837,40.5,-74.37
Lawson State Community College-Bessemer,1,Bessemer,AL,35022,33.37,-86.99
Florida Keys Community College,2,Key West,FL,33040,24.59,-81.75
Community College of Allegheny County- Boyce,1,Monroeville,PA,15146,40.45,-79.75
Asnuntuck Community College,1,Enfield,CT,6082,42,-72.57
Baker College- Owosso,1,Owosso,MI,48867,42.98,-84.18
Eastern Florida State College- Palm Bay,2,Palm Bay,FL,32909,27.99,-80.63
DePaul University - the Loop,2,Chicago,IL,60604,41.88,-87.63
West Virginia University- Morgantown (Main),1,Morgantown,WV,26506,39.65,-79.96
Southwestern University,1,Georgetown,TX,78626,30.63,-97.67
Warren County Community College - Washington (Main),1,Washington,NJ,7882,40.75,-75.02
University of Cincinnati-Main,1,Cincinnati,OH,45220,39.13,-84.52
Rochester Institute of Technology,1,Rochester,NY,14623,43.08,-77.67
University of Houston- Victoria,2,Victoria,TX,77901,28.82,-96.98
SUNY College at Geneseo,1,Geneseo,NY,14454,42.8,-77.82
Mississippi College,1,Clinton,MS,39056,32.34,-90.33
University of Central Florida- Valencia East,2,Orlando,FL,32825,28.55,-81.25
Full Sail University,4,Winter Park,FL,32792,28.6,-81.3
Kirkwood Community College- Vinton,1,Vinton,IA,52349,42.17,-92.03
University at Buffalo - North (Main),1,Buffalo,NY,14260,43,-78.79
University of Pittsburgh-Pittsburgh Campus,2,Pittsburgh,PA,15213,40.44,-79.95
Chabot College,1,Hayward,CA,94545,37.64,-122.11
Seminole State College of Florida- Sanford/Lake Mary (Main),1,Sanford,FL,32773,28.74,-81.3
New River Community College,1,Dublin,VA,24084,37.1,-80.7
West Valley College,1,Saratoga,CA,95070,37.26,-122.01
Arkansas Tech University - Russellville (Main),3,Russellville,AR,72801,35.29,-93.13
University of Nebraska-Lincoln,9,Lincoln,NE,68508,40.82,-96.7
Oxnard College,1,Oxnard,CA,93033,34.17,-119.16
University of Oregon - Portland,3,Portland,OR,97211,45.57,-122.64
Florida Polytechnic University,2,Lakeland,FL,33868,28.15,-81.85
Pikes Peak Community College-Rampart Range,1,Colorado Springs,CO,80921,38.99,-104.79
Western Iowa Tech Community College- Sioux City (Main),1,Sioux City,IA,51106,42.48,-96.35
University of Wisconsin-Eau Claire,3,Eau Claire,WI,54701,44.8,-91.5
Florida International University - Biscayne Bay,1,North Miami Beach,FL,33181,25.91,-80.14
Clarkson College,1,Omaha,NE,68131,41.26,-95.98
California College of the Arts,1,San Francisco,CA,94107,37.77,-122.4
University of Missouri-Columbia,2,Columbia,MO,65211,38.95,-92.33
University of Michigan-Ann Arbor,1,Ann Arbor,MI,48109,42.28,-83.74
Pellissippi State Community College- Strawberry Plains,1,Knoxville,TN,37914,36,-83.78
Marshall University - Huntington (Main),1,Huntington,WV,25755,38.42,-82.43
Harrisburg Area Community College-Lancaster,1,Lancaster,PA,17602,40.04,-76.27
Eastern Michigan University,2,Ypsilanti,MI,48197,42.25,-83.62
Southside Virginia Community College,1,Alberta,VA,23821,36.84,-77.92
Daytona State College- Flagler,1,Palm Coast,FL,32137,29.56,-81.19
Everglades University- Boca Raton (Main),1,Boca Raton,FL,33431,26.39,-80.11
Middlesex Community College,2,Middletown,CT,6457,41.54,-72.61
University of Central Florida- Lake Nona (Health Sciences),1,Orlando,FL,32827,28.37,-81.28
Copper Mountain Community College,1,Joshua Tree,CA,92252,34.14,-116.21
Norwalk Community College,1,Norwalk,CT,6854,41.1,-73.45
College of the Atlantic,1,Bar Harbor,ME,4609,44.4,-68.22
Soka University of America,1,Aliso Viejo,CA,92656,33.55,-117.74
Hawaii Community College - Hilo,1,Hilo,HI,96720,19.7,-155.07
Gateway Community College,1,New Haven,CT,6510,41.3,-72.93
Hampshire College,1,Amherst,MA,1002,42.33,-72.53
North Central Texas College- Flower Mound,1,Flower Mound,TX,75028,33.04,-97.05
Oberlin College,2,Oberlin,OH,44074,41.29,-82.22
University of North Carolina at Chapel Hill,3,Chapel Hill,NC,27599,35.91,-79.05
Sinclair Community College,1,Dayton,OH,45402,39.76,-84.2
York College Pennsylvania,1,York,PA,17403,39.95,-76.73
Kansas State University- Manhattan,1,Manhattan,KS,66506,39.19,-96.58
Seattle Pacific University,1,Seattle,WA,98119,47.65,-122.36
