actor,show,year,top_cast,episodes
Benedict Cumberbatch,The Last Enemy,2008,Benedict Cumberbatch,5
Benedict Cumberbatch,The Last Enemy,2008,Geraldine James,5
Benedict Cumberbatch,The Last Enemy,2008,Max Beesley,5
Benedict Cumberbatch,The Last Enemy,2008,David Harewood,5
Benedict Cumberbatch,The Last Enemy,2008,Christopher Fulford,5
Benedict Cumberbatch,The Hollow Crown,2012,Tom Hiddleston,6
Benedict Cumberbatch,The Hollow Crown,2012,Ben Whishaw,6
Benedict Cumberbatch,The Hollow Crown,2012,Hugh Bonneville,6
Benedict Cumberbatch,The Hollow Crown,2012,Simon Russell Beale,6
Benedict Cumberbatch,The Hollow Crown,2012,Will Attenborough,6
Benedict Cumberbatch,The Hollow Crown,2012,Alun Armstrong,6
Benedict Cumberbatch,The Hollow Crown,2012,Benedict Cumberbatch,6
Benedict Cumberbatch,The Hollow Crown,2012,Jeremy Irons,6
Benedict Cumberbatch,The Hollow Crown,2012,Sophie Okonedo,6
