web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575148820-5092","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","JUMPSUIT WITH CORD STRAPS","https://www.zara.com/us/en/jumpsuit-with-cord-straps-p01165157.html","JUMPSUIT WITH CORD STRAPS Details","69.90 USD","Chocolate"
"1575148372-4878","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","null","","","",""
"1575152273-5544","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PLEATED DRESS WITH BELT","https://www.zara.com/us/en/pleated-dress-with-belt-p03666183.html","PLEATED DRESS WITH BELT Details","119.00 USD","Coral"
"1575154874-5759","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUFFLED DRESS","https://www.zara.com/us/en/ruffled-dress-p00264458.html","RUFFLED DRESS Details","35.90 USD","Gray green"
"1575148971-5165","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","EMBROIDERED SHIRT DRESS","https://www.zara.com/us/en/embroidered-shirt-dress-p04786254.html","EMBROIDERED SHIRT DRESS Details","69.90 USD","Oyster White"
"1575153658-5663","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FLORAL PRINT DRESS","https://www.zara.com/us/en/floral-print-dress-p02587051.html","FLORAL PRINT DRESS Details","49.90 USD","Multicolored"
"1575153600-5635","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PRINT DRESS","https://www.zara.com/us/en/print-dress-p08342331.html","PRINT DRESS Details","49.90 USD","BLACK/ORANGE"
"1575149019-5188","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PLEATED MIDI DRESS","https://www.zara.com/us/en/pleated-midi-dress-p05584459.html","PLEATED MIDI DRESS Details","39.90 USD","Black"
"1575153704-5685","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FAUX LEATHER DRESS","https://www.zara.com/us/en/faux-leather-dress-p03046021.html","FAUX LEATHER DRESS Details","69.90 USD","Black"
"1575149157-5255","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","VOLUMINOUS DRESS WITH FRILLS","https://www.zara.com/us/en/voluminous-dress-with-frills-p07385302.html","VOLUMINOUS DRESS WITH FRILLS Details","49.90 USD","Black"
