web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575162784-6522","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","MICKEY MOUSE © DISNEY SHIRT","https://www.zara.com/us/en/mickey-mouse-%C2%A9-disney-shirt-p01165309.html","MICKEY MOUSE © DISNEY SHIRT Details","29.90 USD","White"
"1575162577-6426","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162947-6591","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","METALLIC THREAD TURTLENECK","https://www.zara.com/us/en/metallic-thread-turtleneck-p01165319.html","METALLIC THREAD TURTLENECK Details","35.90 USD","Black"
"1575162681-6476","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","WAFFLE TEXTURED T-SHIRT","https://www.zara.com/us/en/waffle-textured-t-shirt-p00679307.html","WAFFLE TEXTURED T-SHIRT Details","29.90 USD","taupe brown"
"1575162605-6442","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PREMIUM COMPACT SHIRT","https://www.zara.com/us/en/premium-compact-shirt-p09240421.html","PREMIUM COMPACT SHIRT Details","19.90 USD","White"
"1575162577-6407","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162679-6475","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","MERCERIZED T-SHIRT","https://www.zara.com/us/en/mercerized-t-shirt-p04087309.html","MERCERIZED T-SHIRT Details","25.90 USD","Gray green"
"1575162971-6601","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","STRIPED POCKET SHIRT","https://www.zara.com/us/en/striped-pocket-shirt-p05643313.html","STRIPED POCKET SHIRT Details","25.90 USD","Natural"
"1575162857-6550","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","SKULL PRINT T-SHIRT","https://www.zara.com/us/en/skull-print-t-shirt-p06224310.html","SKULL PRINT T-SHIRT Details","null","Black"
"1575162631-6453","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TEXTURED TOP","https://www.zara.com/us/en/textured-top-p06917310.html","TEXTURED TOP Details","39.90 USD","Black"
