web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575146973-4397","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","©DISNEY MICKEY & MINNIE MOUSE T-SHIRT","https://www.zara.com/us/en/%C2%A9disney-mickey---minnie-mouse-t-shirt-p00085852.html","©DISNEY MICKEY & MINNIE MOUSE T-SHIRT Details","25.90 USD","Blue"
"1575147074-4444","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FRONT PRINT SHIRT","https://www.zara.com/us/en/front-print-shirt-p05644905.html","FRONT PRINT SHIRT Details","17.90 USD","White"
"1575147264-4534","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","CONTRAST TOP","https://www.zara.com/us/en/contrast-top-p00264452.html","CONTRAST TOP Details","25.90 USD","White"
"1575147530-4660","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FAME™ PRINT T-SHIRT","https://www.zara.com/us/en/fame%E2%84%A2-print-t-shirt-p00962631.html","FAME™ PRINT T-SHIRT Details","25.90 USD","Charcoal"
"1575147847-4809","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","BASIC ASYMMETRIC T-SHIRT","https://www.zara.com/us/en/basic-asymmetric-t-shirt-p04174025.html","BASIC ASYMMETRIC T-SHIRT Details","9.90 USD","Brown / Taupe"
"1575146935-4359","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147409-4603","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","©DISNEY MICKEY LICENSE T-SHIRT","https://www.zara.com/us/en/%C2%A9disney-mickey-license-t-shirt-p00085631.html","©DISNEY MICKEY LICENSE T-SHIRT Details","25.90 USD","Charcoal"
"1575147306-4554","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","BASIC LYOCELL T-SHIRT","https://www.zara.com/us/en/basic-lyocell-t-shirt-p00858453.html","BASIC LYOCELL T-SHIRT Details","19.90 USD","Russet"
"1575147059-4438","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","© THE SMURFS SMURFETTE SHIRT","https://www.zara.com/us/en/%C2%A9-the-smurfs-smurfette-shirt-p00962195.html","© THE SMURFS SMURFETTE SHIRT Details","25.90 USD","Ecru"
"1575146935-4379","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147490-4641","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","SATIN CAMISOLE","https://www.zara.com/us/en/satin-camisole-p02878001.html","SATIN CAMISOLE Details","19.90 USD","Bone"
"1575147354-4577","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH ORGANZA TRIM","https://www.zara.com/us/en/top-with-organza-trim-p05644910.html","TOP WITH ORGANZA TRIM Details","29.90 USD","White"
"1575146940-4381","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FRONT PRINT T-SHIRT","https://www.zara.com/us/en/front-print-t-shirt-p05039638.html","FRONT PRINT T-SHIRT Details","19.90 USD","Black"
"1575147453-4623","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","PLEATED TULLE TOP","https://www.zara.com/us/en/pleated-tulle-top-p05580464.html","PLEATED TULLE TOP Details","19.90 USD","Raspberry"
"1575147112-4462","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","PRINTED T-SHIRT","https://www.zara.com/us/en/printed-t-shirt-p05580461.html","PRINTED T-SHIRT Details","19.90 USD","White"
"1575147656-4721","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","RUFFLED TULLE TOP","https://www.zara.com/us/en/ruffled-tulle-top-p00264824.html","RUFFLED TULLE TOP Details","17.90 USD","White"
"1575147366-4583","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","WRINKLE EFFECT TOP","https://www.zara.com/us/en/wrinkle-effect-top-p01198630.html","WRINKLE EFFECT TOP Details","17.90 USD","Oyster White"
"1575147402-4600","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","LOLA BUNNY LOONEY TUNES © &™ WARNER BROS SHIRT","https://www.zara.com/us/en/lola-bunny-looney-tunes-%C2%A9--%E2%84%A2-warner-bros-shirt-p05580639.html","LOLA BUNNY LOONEY TUNES © &™ WARNER BROS SHIRT Details","25.90 USD","Oyster White"
"1575147502-4647","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","POCKET T-SHIRT","https://www.zara.com/us/en/pocket-t-shirt-p00858454.html","POCKET T-SHIRT Details","19.90 USD","Oyster White"
"1575146935-4350","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147789-4781","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","STUDDED SOFT FEEL TOP","https://www.zara.com/us/en/studded-soft-feel-top-p01067004.html","STUDDED SOFT FEEL TOP Details","19.90 USD","Black"
"1575147014-4417","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH METALLIC THREAD","https://www.zara.com/us/en/top-with-metallic-thread-p05039940.html","TOP WITH METALLIC THREAD Details","19.90 USD","Black"
"1575147476-4634","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","T-SHIRT WITH ASYMMETRIC HEM","https://www.zara.com/us/en/t-shirt-with-asymmetric-hem-p05644803.html","T-SHIRT WITH ASYMMETRIC HEM Details","29.90 USD","Black"
"1575147333-4567","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","T-SHIRT WITH TEXT","https://www.zara.com/us/en/t-shirt-with-text-p00134457.html","T-SHIRT WITH TEXT Details","19.90 USD","Beige"
"1575147708-4742","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","GATHERED LONG SLEEVE TOP","https://www.zara.com/us/en/gathered-long-sleeve-top-p04174863.html","GATHERED LONG SLEEVE TOP Details","17.90 USD","White"
"1575147156-4483","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FRONT PRINT SHIRT","https://www.zara.com/us/en/front-print-shirt-p00085903.html","FRONT PRINT SHIRT Details","17.90 USD","White"
"1575146935-4330","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
