"COLLECTION_NAME","COUPLE_ID","COUPLE_SEQUENCE","RELATED","SEX","AGE","RACE","RACED","HISPAN","HISPAND","BPL","BPLD","INCTOT","INCWAGE"
"ms_children_2018",2467,"ch1",301,1,14,1,100,0,0,22,2200,9999999,999999
"ms_children_2018",4095,"c1",201,1,39,2,200,0,0,28,2800,60000,60000
"ms_children_2018",4095,"c2",101,2,42,2,200,0,0,28,2800,53200,52000
"ms_children_2018",4095,"ch1",301,1,22,2,200,0,0,28,2800,0,0
"ms_children_2018",4095,"ch2",301,1,15,2,200,0,0,28,2800,0,999999
"ms_children_2018",4095,"ch3",301,1,11,2,200,0,0,28,2800,9999999,999999
"ms_children_2018",140,"c1",201,1,42,2,200,0,0,28,2800,32000,32000
"ms_children_2018",140,"c2",101,2,42,2,200,0,0,28,2800,25900,25900
"ms_children_2018",140,"ch1",301,1,19,2,200,0,0,28,2800,0,0
"ms_children_2018",140,"ch2",301,2,13,2,200,0,0,28,2800,9999999,999999
"ms_children_2018",4119,"c1",201,2,59,1,100,0,0,28,2800,3100,0
"ms_children_2018",4119,"c2",101,1,60,1,100,0,0,28,2800,75000,75000
"ms_children_2018",5189,"c1",201,2,67,1,100,0,0,28,2800,14500,0
"ms_children_2018",5189,"c2",101,1,68,1,100,0,0,28,2800,21000,6500
"ms_children_2018",4305,"c1",201,1,57,1,100,0,0,12,1200,170000,170000
"ms_children_2018",4305,"c2",101,2,56,1,100,0,0,12,1200,250500,6500
"ms_children_2018",4305,"ch1",301,2,23,1,100,0,0,12,1200,30000,30000
"ms_children_2018",807,"c1",201,1,68,2,200,0,0,28,2800,11000,0
"ms_children_2018",807,"c2",101,2,68,2,200,0,0,28,2800,10200,0
"ms_children_2018",3317,"c1",201,2,78,1,100,0,0,1,100,9000,0
"ms_children_2018",3317,"c2",101,1,82,1,100,0,0,28,2800,31060,0
"ms_children_2018",2832,"c1",1114,1,23,1,100,0,0,2,200,20000,20000
"ms_children_2018",2832,"c2",1114,1,23,1,100,0,0,2,200,20000,20000
"ms_children_2018",2626,"c1",201,2,67,1,100,0,0,31,3100,9600,0
"ms_children_2018",2626,"c2",101,1,65,1,100,0,0,410,41000,14100,0
"ms_children_2018",3444,"c1",201,1,28,1,100,0,0,47,4700,38400,38400
"ms_children_2018",3444,"c2",101,2,24,1,100,0,0,47,4700,29200,29200
"ms_children_2018",3444,"ch1",301,1,3,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",5563,"c1",201,1,31,1,100,0,0,47,4700,43000,43000
"ms_children_2018",5563,"c2",101,2,32,1,100,0,0,28,2800,42500,42500
"ms_children_2018",5563,"ch1",301,2,7,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",5563,"ch2",301,2,3,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",488,"c1",201,2,37,1,100,0,0,28,2800,52000,52000
"ms_children_2018",488,"c2",101,1,43,1,100,0,0,28,2800,35000,35000
"ms_children_2018",488,"ch1",301,1,16,1,100,0,0,28,2800,0,0
"ms_children_2018",488,"ch2",301,2,8,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",488,"ch3",301,2,2,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",2849,"c1",201,1,55,2,200,0,0,28,2800,38000,38000
"ms_children_2018",2849,"c2",101,2,56,2,200,0,0,28,2800,30000,30000
"ms_children_2018",2274,"c1",201,2,83,1,100,0,0,22,2200,11000,0
"ms_children_2018",2274,"c2",101,1,82,1,100,0,0,51,5100,19500,0
"ms_children_2018",5501,"c1",201,1,65,1,100,0,0,28,2800,120000,120000
